log time,gps time,GPS latitude,GPS longitude,GPS altitude,GPS angle,GPS speed,interior temperature,CCS eCO2,CCS TVOC,Acceleration X,Acceleration Y,Acceleration Z,Magnetic X,Magnetic Y,Magnetic Z,Gyro X,Gyro Y,Gyro Z
3,15:10:25,0.000000,-0.000000,0.00,0.00,0.00,6.94,400,0,-2.51,1.63,1.32,-0.04,0.57,-0.42,3.77,4.97,0.78
6,15:10:26,0.000000,-0.000000,0.00,0.00,0.00,6.94,400,0,-2.13,0.63,0.30,-0.03,0.55,-0.43,-7.24,-0.28,-0.11
9,15:10:28,0.000000,-0.000000,0.00,0.00,0.00,6.88,400,0,-1.92,1.47,0.21,-0.02,0.56,-0.43,4.33,1.49,1.40
12,15:10:29,0.000000,-0.000000,0.00,0.00,0.00,6.88,400,0,-1.85,1.11,0.95,-0.03,0.55,-0.43,-3.98,-1.28,0.01
15,15:10:30,0.000000,-0.000000,0.00,0.00,0.00,6.88,400,0,-1.68,1.32,-0.38,-0.03,0.55,-0.43,15.30,15.20,4.73
18,15:10:32,0.000000,-0.000000,0.00,0.00,0.00,6.88,400,0,-1.67,1.55,0.20,-0.02,0.56,-0.42,-2.78,-2.84,-0.29
21,15:10:34,0.000000,-0.000000,0.00,0.00,0.00,6.81,400,0,-2.43,0.77,0.74,-0.02,0.58,-0.41,4.16,3.27,-0.27
24,15:10:35,0.000000,-0.000000,0.00,0.00,0.00,6.88,400,0,-1.84,1.95,0.24,-0.02,0.56,-0.41,-2.61,-2.11,0.27
45,15:13:50,0.000000,-0.000000,0.00,0.00,0.00,6.31,400,0,0.20,-1.02,0.41,0.11,0.62,-0.34,0.79,0.43,0.45
48,15:13:52,0.000000,-0.000000,0.00,0.00,0.00,6.31,400,0,0.14,-0.95,0.48,0.09,0.62,-0.36,1.59,1.15,0.56
51,15:13:53,0.000000,-0.000000,0.00,0.00,0.00,6.38,400,0,0.10,-0.97,0.55,0.08,0.62,-0.37,-2.16,-0.59,-0.06
54,15:13:54,0.000000,-0.000000,0.00,0.00,0.00,6.38,478,11,0.03,-1.08,0.79,0.07,0.64,-0.38,6.20,1.43,0.67
57,15:13:56,0.000000,-0.000000,0.00,0.00,0.00,6.38,400,0,0.02,-1.21,0.41,0.09,0.63,-0.35,2.07,0.31,0.72
60,15:13:58,0.000000,-0.000000,0.00,0.00,0.00,6.38,400,0,-0.23,-0.91,0.71,0.09,0.63,-0.36,2.40,1.92,1.02
63,15:13:59,0.000000,-0.000000,0.00,0.00,0.00,6.38,400,0,-0.58,-2.35,2.37,0.08,0.63,-0.38,-2.74,-0.87,-0.16
66,15:14:1,0.000000,-0.000000,0.00,0.00,0.00,6.38,400,0,0.08,-1.12,0.48,0.08,0.63,-0.37,0.55,-0.29,0.02
69,15:14:2,0.000000,-0.000000,0.00,0.00,0.00,6.38,785,58,0.09,-1.12,0.45,0.07,0.64,-0.37,0.97,0.44,0.28
72,15:14:4,0.000000,-0.000000,0.00,0.00,0.00,6.38,418,2,0.10,-1.13,0.32,0.08,0.64,-0.36,1.01,0.62,0.54
75,15:14:5,0.000000,-0.000000,0.00,0.00,0.00,6.38,400,0,0.07,-1.15,0.47,0.09,0.64,-0.37,0.94,0.65,0.52
78,15:14:6,0.000000,-0.000000,0.00,0.00,0.00,6.38,496,14,-0.02,-1.15,0.44,0.07,0.62,-0.40,0.71,1.05,0.35
81,15:14:8,0.000000,-0.000000,0.00,0.00,0.00,6.38,426,3,0.12,-1.33,0.23,0.08,0.65,-0.36,5.67,-1.74,1.35
84,15:14:10,0.000000,-0.000000,0.00,0.00,0.00,6.38,400,0,0.62,-1.03,1.53,0.08,0.64,-0.35,2.26,-0.80,0.48
87,15:14:11,0.000000,-0.000000,0.00,0.00,0.00,6.38,400,0,0.53,0.12,0.74,0.09,0.64,-0.36,-7.75,-0.10,4.23
90,15:14:12,0.000000,-0.000000,0.00,0.00,0.00,6.38,600,30,0.25,-1.09,0.18,0.10,0.63,-0.36,-2.72,1.67,-0.30
93,15:14:14,0.000000,-0.000000,0.00,0.00,0.00,6.38,995,90,0.14,-0.96,0.40,0.09,0.63,-0.36,0.90,0.52,0.13
96,15:14:16,0.000000,-0.000000,0.00,0.00,0.00,6.38,887,74,0.21,-0.96,0.44,0.09,0.64,-0.37,1.01,0.43,0.04
99,15:14:17,0.000000,-0.000000,0.00,0.00,0.00,6.38,694,44,0.16,-0.97,0.43,0.09,0.64,-0.37,0.71,0.64,0.30
102,15:14:18,0.000000,-0.000000,0.00,0.00,0.00,6.31,400,0,0.21,-0.97,0.47,0.09,0.63,-0.37,0.87,0.62,0.29
105,15:14:20,0.000000,-0.000000,0.00,0.00,0.00,6.31,400,0,0.18,-0.98,0.48,0.10,0.64,-0.35,0.68,0.25,0.20
108,15:14:22,0.000000,-0.000000,0.00,0.00,0.00,6.31,539,21,0.20,-0.98,0.51,0.09,0.63,-0.36,0.74,0.50,0.35
111,15:14:23,0.000000,-0.000000,0.00,0.00,0.00,6.31,410,1,0.21,-0.99,0.44,0.08,0.63,-0.37,0.85,0.56,0.37
114,15:14:25,33.152548,-112.078173,321.30,309.21,0.16,6.31,477,11,0.18,-1.00,0.51,0.09,0.64,-0.37,0.84,0.33,0.33
117,15:14:27,33.152551,-112.078173,320.00,304.48,0.17,6.31,473,11,-0.04,-0.83,0.13,0.09,0.64,-0.36,0.68,-0.98,0.38
120,15:14:29,33.152553,-112.078183,317.20,317.86,0.12,6.25,410,1,-0.20,-0.95,0.82,0.08,0.64,-0.37,0.36,1.20,0.27
123,15:14:31,33.152556,-112.078183,313.40,216.16,0.02,6.25,653,38,0.36,-1.24,0.51,0.08,0.65,-0.35,1.42,-0.14,1.19
126,15:14:33,33.152553,-112.078183,313.80,9.08,0.01,6.25,577,26,0.38,-0.96,0.44,0.07,0.64,-0.37,1.00,0.17,0.31
129,15:14:35,33.152551,-112.078183,317.50,131.69,0.01,6.25,536,20,0.14,-1.11,0.46,0.08,0.63,-0.37,0.81,0.48,0.32
132,15:14:37,33.152548,-112.078183,318.30,329.32,0.01,6.25,477,11,0.18,-1.09,0.54,0.09,0.64,-0.36,0.84,0.21,0.31
135,15:14:39,33.152548,-112.078173,318.70,250.51,0.01,6.25,486,13,0.17,-1.10,0.46,0.09,0.64,-0.36,0.88,0.31,0.31
138,15:14:41,33.152543,-112.078173,318.20,21.07,0.01,6.25,496,14,0.29,-1.08,0.46,0.09,0.64,-0.36,0.86,0.38,0.31
141,15:14:43,33.152541,-112.078164,321.40,221.27,0.01,6.25,450,7,0.17,-1.09,0.42,0.09,0.64,-0.36,0.74,0.49,0.38
144,15:14:45,33.152539,-112.078164,323.90,219.03,0.01,6.19,446,7,0.20,-1.17,0.47,0.08,0.64,-0.36,1.44,0.61,0.53
147,15:14:47,33.152539,-112.078154,324.50,152.58,0.01,6.19,400,0,0.16,-1.06,0.47,0.08,0.64,-0.37,0.91,0.53,0.55
150,15:14:49,33.152539,-112.078154,323.50,321.15,0.01,6.19,423,3,0.14,-1.08,0.43,0.08,0.64,-0.36,1.01,0.32,0.29
153,15:14:51,33.152539,-112.078154,323.10,28.81,0.01,6.19,413,1,0.13,-1.07,0.35,0.09,0.64,-0.37,0.84,0.27,0.35
156,15:14:53,33.152539,-112.078154,323.90,237.98,0.02,6.19,405,0,4.07,-2.37,0.42,0.23,0.60,-0.28,2.16,3.17,-6.88
159,15:14:55,33.152539,-112.078154,323.90,274.64,0.05,6.19,400,0,6.99,0.12,-3.99,0.35,0.57,-0.06,0.94,28.04,2.06
162,15:14:57,33.152539,-112.078154,323.60,23.50,0.09,6.19,400,0,9.23,-1.11,-5.59,0.36,0.61,-0.01,1.58,-0.62,0.17
165,15:14:59,33.152539,-112.078154,323.20,106.70,0.06,6.19,400,0,9.61,-0.57,-6.95,0.37,0.61,0.05,1.74,1.29,-0.12
168,15:15:1,33.152539,-112.078154,323.30,247.14,0.14,6.19,519,18,-0.11,-1.23,0.47,0.07,0.64,-0.36,1.44,0.59,0.68
171,15:15:3,33.152539,-112.078154,323.30,177.81,0.16,6.19,506,16,-0.03,-1.26,0.33,0.08,0.63,-0.36,0.67,0.43,0.31
174,15:15:5,33.152539,-112.078154,323.30,159.08,0.02,6.19,475,11,-0.06,-1.37,0.51,0.08,0.65,-0.37,3.55,-2.01,1.37
177,15:15:7,33.152539,-112.078154,323.30,29.28,0.04,6.19,821,64,-0.03,-1.37,0.42,0.08,0.65,-0.36,0.88,0.42,0.33
180,15:15:9,33.152539,-112.078154,323.30,122.56,0.00,6.25,427,4,-0.03,-1.29,0.39,0.07,0.65,-0.38,1.01,0.63,0.32
183,15:15:11,33.152539,-112.078154,323.30,251.55,0.00,6.25,400,0,-0.63,-1.47,-0.47,0.07,0.65,-0.36,12.62,5.35,0.15
186,15:15:13,33.152539,-112.078154,323.30,187.88,0.03,6.19,400,0,-0.13,-1.36,0.44,0.08,0.65,-0.36,0.56,0.67,0.26
189,15:15:15,33.152539,-112.078154,323.30,347.05,0.02,6.19,653,38,-0.13,-1.36,0.45,0.08,0.64,-0.37,1.03,0.43,0.36
192,15:15:17,33.152539,-112.078154,323.30,273.64,0.01,6.19,634,35,-0.13,-1.36,0.40,0.08,0.64,-0.36,0.98,0.40,0.27
195,15:15:19,33.152539,-112.078154,323.30,172.47,0.02,6.19,594,29,-0.12,-1.30,0.45,0.08,0.64,-0.36,0.93,0.25,0.38
198,15:15:21,33.152539,-112.078154,323.30,18.31,0.01,6.19,679,42,-0.09,-1.34,0.46,0.08,0.64,-0.36,0.94,0.30,0.31
201,15:15:23,33.152539,-112.078154,323.30,235.61,0.00,6.19,665,40,-0.13,-1.33,0.43,0.08,0.65,-0.36,0.66,0.58,0.63
204,15:15:25,33.152539,-112.078154,323.30,204.98,0.01,6.19,679,42,-0.13,-1.31,0.41,0.08,0.65,-0.36,0.92,0.38,0.31
207,15:15:27,33.152539,-112.078154,323.30,198.51,0.01,6.19,612,32,-0.16,-1.31,0.39,0.08,0.64,-0.38,0.78,0.67,0.53
210,15:15:29,33.152539,-112.078154,323.30,59.54,0.00,6.19,688,43,-0.12,-1.36,0.47,0.08,0.65,-0.36,0.97,0.32,0.32
213,15:15:31,33.152539,-112.078154,323.30,186.80,0.01,6.19,646,37,-0.10,-1.35,0.41,0.08,0.64,-0.37,1.09,0.52,0.16
216,15:15:33,33.152536,-112.078154,323.60,230.00,0.02,6.19,629,34,-0.10,-1.19,0.05,0.08,0.64,-0.38,-0.61,-0.03,-0.01
219,15:15:35,33.152534,-112.078154,323.80,308.42,0.01,6.19,588,28,-0.47,-0.24,-2.03,0.08,0.64,-0.36,7.74,1.36,2.72
222,15:15:37,33.152534,-112.078154,324.00,341.35,0.02,6.19,588,28,-0.23,-1.33,0.54,0.08,0.64,-0.36,0.75,0.45,0.12
225,15:15:39,33.152534,-112.078154,324.00,294.53,0.02,6.19,679,42,-0.01,-1.33,0.36,0.10,0.65,-0.34,0.47,0.42,0.35
228,15:15:41,33.152534,-112.078154,324.20,188.34,0.04,6.19,641,36,-0.14,-1.37,0.65,0.09,0.63,-0.35,1.12,-0.25,-0.04
231,15:15:43,33.152534,-112.078154,324.30,83.89,0.03,6.19,674,41,-0.12,-1.29,0.37,0.07,0.63,-0.37,0.80,0.50,0.37
234,15:15:45,33.152534,-112.078154,324.40,110.18,0.02,6.19,588,28,-0.15,-1.32,0.43,0.08,0.63,-0.36,0.84,0.27,0.12
237,15:15:47,33.152531,-112.078154,324.50,132.50,0.01,6.25,561,24,-0.11,-1.31,0.35,0.09,0.63,-0.37,0.79,0.36,0.29
240,15:15:49,33.152531,-112.078154,324.60,96.34,0.00,6.25,553,23,-0.12,-1.33,0.33,0.07,0.64,-0.36,0.87,0.37,0.19
243,15:15:51,33.152531,-112.078154,324.70,193.47,0.01,6.25,553,23,-0.16,-1.28,0.46,0.08,0.64,-0.35,0.62,0.17,0.36
246,15:15:53,33.152529,-112.078154,324.80,279.31,0.01,6.31,527,19,-0.17,-1.25,0.46,0.08,0.63,-0.37,0.99,0.67,0.59
249,15:15:55,33.152529,-112.078154,324.90,274.50,0.01,6.31,518,17,-0.08,-1.29,0.30,0.08,0.63,-0.36,1.29,0.38,0.47
252,15:15:57,33.152529,-112.078154,324.90,267.61,0.01,6.38,561,24,-0.12,-1.29,0.36,0.09,0.64,-0.36,0.68,0.64,0.27
255,15:15:59,33.152529,-112.078154,324.90,354.79,0.02,6.50,548,22,-0.13,-1.31,0.46,0.08,0.64,-0.36,0.84,0.36,0.51
258,15:16:1,33.152526,-112.078154,325.00,6.56,0.02,6.63,548,22,-0.12,-1.33,0.44,0.08,0.64,-0.36,0.93,0.49,0.34
261,15:16:3,33.152526,-112.078154,325.10,127.38,0.01,6.69,492,14,-0.09,-1.30,0.39,0.09,0.63,-0.36,0.96,0.49,0.03
264,15:16:5,33.152526,-112.078154,325.10,147.98,0.01,6.81,508,16,-0.05,-1.27,0.44,0.08,0.64,-0.36,0.65,0.25,0.25
267,15:16:7,33.152524,-112.078154,325.00,168.62,0.00,6.94,502,15,-0.11,-1.35,0.42,0.07,0.65,-0.36,0.80,0.65,0.67
270,15:16:9,33.152524,-112.078154,325.10,240.84,0.01,7.00,508,16,-0.27,-1.33,0.51,0.08,0.64,-0.37,0.66,0.67,0.45
273,15:16:11,33.152524,-112.078154,325.10,172.91,0.04,7.00,566,25,-0.15,-1.49,0.52,0.07,0.65,-0.35,3.02,3.84,0.96
276,15:16:13,33.152524,-112.078154,324.90,311.48,0.01,7.00,1053,99,0.11,-1.30,0.13,0.08,0.65,-0.37,0.82,0.98,0.72
279,15:16:15,33.152524,-112.078154,325.00,235.49,0.02,6.94,1038,97,-0.14,-1.30,0.41,0.08,0.64,-0.37,0.82,0.48,0.14
282,15:16:17,33.152524,-112.078154,325.00,242.71,0.02,6.94,1174,117,-0.07,-1.28,0.33,0.08,0.64,-0.36,0.82,0.32,0.18
285,15:16:19,33.152524,-112.078154,325.00,221.82,0.02,6.88,1224,125,-0.19,-1.38,0.39,0.07,0.65,-0.36,0.39,0.85,0.45
288,15:16:21,33.152524,-112.078154,325.00,226.38,0.02,6.88,1389,150,-0.19,-1.34,0.39,0.07,0.65,-0.35,0.92,0.49,0.38
291,15:16:23,33.152524,-112.078154,325.00,235.39,0.02,6.88,1238,127,-0.18,-1.33,0.33,0.07,0.64,-0.37,1.01,0.47,0.35
294,15:16:25,33.152524,-112.078154,325.00,226.77,0.01,6.88,1174,117,-0.12,-1.36,0.44,0.07,0.64,-0.37,0.77,0.47,0.34
297,15:16:27,33.152524,-112.078154,325.00,234.41,0.05,6.81,1204,122,-0.18,-1.36,0.44,0.07,0.65,-0.37,0.66,0.55,0.28
300,15:16:29,33.152524,-112.078154,325.00,123.71,0.02,6.81,1110,108,-0.15,-1.32,0.41,0.06,0.64,-0.37,0.72,0.55,0.53
303,15:16:31,33.152524,-112.078154,325.00,174.18,0.01,6.81,1310,138,-0.18,-1.34,0.37,0.08,0.64,-0.36,0.98,0.29,0.54
306,15:16:33,33.152524,-112.078154,325.00,344.20,0.01,6.81,1140,112,-0.16,-1.34,0.45,0.07,0.64,-0.36,0.81,0.52,0.54
309,15:16:35,33.152524,-112.078154,325.00,314.67,0.01,6.81,1110,108,-0.17,-1.34,0.46,0.08,0.65,-0.36,0.71,0.40,0.53
312,15:16:37,33.152524,-112.078154,325.00,22.61,0.01,6.81,1009,92,-0.02,-1.33,0.45,0.07,0.65,-0.35,0.89,0.29,0.30
315,15:16:39,33.152524,-112.078154,325.00,3.75,0.02,6.81,1029,95,-0.18,-1.44,0.44,0.07,0.65,-0.35,1.71,0.31,0.48
318,15:16:41,33.152524,-112.078154,325.00,145.08,0.02,6.81,793,59,-0.18,-1.38,0.33,0.06,0.65,-0.36,0.69,0.57,0.11
321,15:16:43,33.152524,-112.078154,325.00,145.74,0.02,6.81,726,49,-0.20,-1.39,0.36,0.07,0.65,-0.35,0.74,0.40,0.18
324,15:16:45,33.152524,-112.078154,325.00,169.06,0.01,6.75,714,47,-0.22,-1.38,0.41,0.07,0.64,-0.37,0.95,0.49,0.38
327,15:16:47,33.152524,-112.078154,325.00,313.25,0.02,6.75,752,53,-0.20,-1.39,0.36,0.07,0.65,-0.36,0.74,0.16,0.31
330,15:16:49,33.152524,-112.078154,325.00,305.89,0.02,6.75,778,57,-0.19,-1.36,0.40,0.07,0.65,-0.36,0.73,0.15,0.30
333,15:16:51,33.152524,-112.078154,325.00,243.07,0.01,6.75,714,47,8.82,-3.15,-6.56,0.29,0.73,0.02,-9.21,64.79,-34.86
336,15:16:53,33.152524,-112.078154,325.00,110.82,0.04,6.69,668,40,9.26,-3.22,-8.31,0.24,0.77,0.11,0.00,15.44,2.59
339,15:16:55,33.152524,-112.078154,325.00,88.00,0.03,6.75,714,47,9.91,-4.31,-9.87,0.24,0.78,0.15,-0.96,9.79,-2.07
342,15:16:57,33.152524,-112.078154,325.00,222.58,0.00,6.81,785,58,8.99,-3.95,-9.68,0.24,0.78,0.13,1.38,1.19,0.62
345,15:16:59,33.152524,-112.078154,325.00,300.52,0.01,6.88,793,59,-0.35,-1.24,0.27,0.03,0.67,-0.37,0.63,-0.07,0.38
348,15:17:1,33.152524,-112.078154,325.00,256.34,0.06,7.00,844,67,-0.42,-1.32,0.46,0.04,0.68,-0.37,0.68,0.33,0.01
351,15:17:3,33.152524,-112.078154,325.00,273.48,0.03,7.06,844,67,-1.36,0.15,0.37,0.02,0.64,-0.39,-0.30,-0.32,-0.71
354,15:17:5,33.152524,-112.078154,325.00,91.67,0.02,7.06,761,54,-0.25,-1.13,0.12,0.04,0.66,-0.38,-1.72,-1.32,-0.55
357,15:17:7,33.152524,-112.078154,325.00,74.67,0.02,7.13,810,62,-0.48,-1.13,0.43,0.05,0.66,-0.36,0.81,0.56,0.67
360,15:17:9,33.152524,-112.078154,325.00,102.70,0.02,7.19,761,54,-0.61,-1.14,0.43,0.04,0.66,-0.38,0.86,0.32,0.16
363,15:17:11,33.152524,-112.078154,325.00,296.91,0.02,7.19,761,54,-0.39,-1.13,0.45,0.03,0.66,-0.37,0.62,0.50,0.17
366,15:17:13,33.152524,-112.078154,325.00,309.29,0.03,7.25,714,47,-0.40,-1.12,0.30,0.03,0.65,-0.36,0.40,0.70,0.32
369,15:17:15,33.152524,-112.078154,325.00,316.41,0.03,7.25,659,39,-0.50,-1.18,0.35,0.03,0.66,-0.36,1.52,0.56,0.25
372,15:17:17,33.152524,-112.078154,325.00,167.00,0.02,7.25,638,36,-0.41,-1.12,0.40,0.04,0.66,-0.37,0.89,0.59,0.22
375,15:17:19,33.152524,-112.078154,325.00,73.18,0.02,7.31,645,37,-0.45,-1.17,0.47,0.04,0.65,-0.37,1.07,0.41,0.31
378,15:17:21,33.152524,-112.078154,325.00,85.42,0.02,7.31,627,34,-0.48,-1.12,0.40,0.03,0.67,-0.36,0.56,0.43,0.25
381,15:17:23,33.152524,-112.078154,325.00,275.39,0.02,7.31,659,39,-0.42,-1.15,0.51,0.04,0.66,-0.37,0.96,0.37,0.18
384,15:17:25,33.152524,-112.078154,325.00,243.35,0.01,7.31,704,46,-0.46,-1.12,0.52,0.04,0.66,-0.36,1.01,0.28,0.25
387,15:17:27,33.152524,-112.078154,325.00,306.78,0.02,7.31,733,50,-0.46,-1.12,0.38,0.04,0.67,-0.36,0.74,0.60,0.23
390,15:17:29,33.152524,-112.078154,325.00,75.77,0.02,7.31,645,37,-0.42,-1.14,0.41,0.03,0.66,-0.35,0.98,0.36,0.31
393,15:17:31,33.152524,-112.078154,325.00,4.21,0.00,7.31,602,30,-0.48,-1.14,0.47,0.04,0.66,-0.36,0.95,0.36,0.05
396,15:17:33,33.152524,-112.078154,325.00,96.01,0.02,7.31,656,39,-0.46,-1.16,0.43,0.04,0.67,-0.35,0.74,0.17,0.25
399,15:17:35,33.152524,-112.078154,325.00,234.45,0.01,7.31,631,35,-0.45,-1.15,0.44,0.04,0.66,-0.36,0.93,0.20,0.11
402,15:17:37,33.152524,-112.078154,325.00,300.55,0.01,7.31,656,39,-0.47,-1.17,0.37,0.04,0.65,-0.37,0.79,0.22,0.50
405,15:17:39,33.152524,-112.078154,325.00,287.62,0.02,7.31,649,37,-0.41,-1.10,0.42,0.04,0.67,-0.35,0.60,0.29,0.17
408,15:17:41,33.152524,-112.078154,325.00,168.74,0.02,7.31,659,39,-0.45,-1.15,0.45,0.03,0.67,-0.37,0.88,0.40,0.25
411,15:17:43,33.152524,-112.078154,325.00,166.79,0.02,7.31,580,27,-0.40,-1.16,0.41,0.03,0.66,-0.36,0.74,0.45,0.29
414,15:17:45,33.152524,-112.078154,325.00,156.55,0.03,7.31,679,42,-0.42,-1.13,0.44,0.04,0.67,-0.36,0.69,0.64,0.20
417,15:17:47,33.152524,-112.078154,325.00,13.83,0.02,7.25,549,22,-0.47,-1.14,0.43,0.03,0.66,-0.36,0.72,0.36,0.23
420,15:17:49,33.152524,-112.078154,325.00,8.86,0.02,7.25,553,23,-0.47,-1.16,0.48,0.04,0.67,-0.35,1.01,0.27,0.23
423,15:17:51,33.152524,-112.078154,325.00,348.03,0.03,7.25,537,20,-0.40,-1.12,0.43,0.03,0.67,-0.36,0.99,0.62,0.38
426,15:17:53,33.152524,-112.078154,325.00,186.60,0.02,7.25,553,23,-0.45,-1.09,0.47,0.03,0.67,-0.37,0.68,0.61,0.27
429,15:17:55,33.152524,-112.078154,325.00,195.91,0.02,7.25,602,30,-0.43,-1.14,0.45,0.04,0.67,-0.37,0.80,0.59,0.25
432,15:17:57,33.152524,-112.078154,325.00,172.54,0.03,7.25,569,25,-0.44,-1.14,0.40,0.03,0.67,-0.37,0.86,0.31,0.42
435,15:17:59,33.152524,-112.078154,325.00,38.48,0.01,7.25,553,23,-0.45,-1.14,0.33,0.03,0.66,-0.37,0.88,0.50,0.36
438,15:18:1,33.152524,-112.078154,325.00,357.31,0.02,7.25,564,24,-0.43,-1.15,0.45,0.03,0.66,-0.38,0.73,0.45,0.27
441,15:18:3,33.152524,-112.078154,325.00,350.79,0.03,7.25,537,20,-0.43,-1.15,0.44,0.04,0.67,-0.38,0.82,0.38,0.34
444,15:18:5,33.152524,-112.078154,325.00,190.28,0.01,7.25,564,24,-0.42,-1.14,0.46,0.03,0.67,-0.37,0.74,0.49,2.22
447,15:18:7,33.152524,-112.078154,325.00,191.98,0.01,7.25,580,27,-0.43,-1.15,0.48,0.04,0.67,-0.37,0.84,0.53,0.28
450,15:18:9,33.152524,-112.078154,325.00,164.37,0.03,7.19,553,23,-0.43,-1.16,0.47,0.03,0.66,-0.36,0.71,0.38,0.37
453,15:18:11,33.152524,-112.078154,325.00,32.35,0.02,7.19,596,29,-0.46,-1.16,0.36,0.03,0.67,-0.36,0.79,0.48,0.38
456,15:18:13,33.152524,-112.078154,324.90,47.20,0.01,7.19,575,26,-0.46,-1.16,0.44,0.03,0.67,-0.37,0.74,0.47,0.43
459,15:18:15,33.152524,-112.078154,324.90,352.48,0.03,7.19,537,20,-0.46,-1.12,0.43,0.03,0.66,-0.37,0.65,0.35,0.18
462,15:18:17,33.152524,-112.078154,324.90,201.85,0.01,7.19,580,27,-0.45,-1.18,0.44,0.04,0.68,-0.37,0.81,0.40,0.26
465,15:18:19,33.152524,-112.078154,324.90,197.76,0.02,7.19,553,23,-0.60,-1.12,0.45,0.05,0.67,-0.35,0.81,0.30,0.13
468,15:18:21,33.152524,-112.078154,324.90,158.16,0.03,7.13,596,29,-0.58,-1.18,0.40,0.04,0.67,-0.35,0.89,0.17,0.31
471,15:18:23,33.152524,-112.078154,324.90,44.47,0.02,7.13,596,29,-0.45,-1.16,0.41,0.04,0.66,-0.36,0.95,0.51,0.35
474,15:18:25,33.152524,-112.078154,324.90,33.98,0.01,7.13,580,27,-0.41,-1.16,0.39,0.04,0.67,-0.36,0.79,0.53,0.25
477,15:18:27,33.152524,-112.078154,324.90,353.91,0.03,7.13,537,20,-0.46,-1.16,0.37,0.04,0.67,-0.37,0.52,0.40,0.06
480,15:18:29,33.152524,-112.078154,324.90,196.97,0.01,7.13,503,15,-0.43,-1.14,0.40,0.03,0.67,-0.36,0.93,0.59,0.28
483,15:18:31,33.152524,-112.078154,324.90,191.87,0.01,7.13,537,20,-0.44,-1.14,0.47,0.04,0.67,-0.36,0.78,0.61,0.12
486,15:18:33,33.152524,-112.078154,324.90,178.24,0.02,7.13,549,22,-0.43,-1.16,0.48,0.04,0.66,-0.36,0.66,0.55,0.37
489,15:18:35,33.152524,-112.078154,324.90,14.53,0.02,7.13,549,22,-0.41,-1.15,0.38,0.03,0.67,-0.37,0.96,0.35,0.22
492,15:18:37,33.152524,-112.078154,324.90,6.07,0.02,7.06,543,21,-0.42,-1.17,0.49,0.04,0.67,-0.38,0.82,0.31,0.05
495,15:18:39,33.152524,-112.078154,324.90,32.81,0.01,7.06,529,19,-0.40,-1.15,0.48,0.04,0.67,-0.36,0.69,0.52,0.25
498,15:18:41,33.152524,-112.078154,324.90,162.89,0.02,7.13,503,15,-0.43,-1.15,0.42,0.03,0.67,-0.36,0.71,0.55,0.25
501,15:18:43,33.152524,-112.078154,324.90,171.38,0.03,7.06,540,21,-0.48,-1.15,0.41,0.04,0.67,-0.36,0.66,0.68,0.21
504,15:18:45,33.152524,-112.078154,324.90,177.16,0.02,7.06,540,21,-0.42,-1.16,0.42,0.03,0.67,-0.36,0.79,0.32,0.31
507,15:18:47,33.152524,-112.078154,324.90,1.98,0.02,7.06,611,32,-0.42,-1.14,0.43,0.03,0.66,-0.36,0.71,0.81,0.40
510,15:18:49,33.152524,-112.078154,324.90,358.97,0.02,7.06,614,32,-0.44,-1.16,0.44,0.04,0.67,-0.39,0.59,0.31,0.21
513,15:18:51,33.152524,-112.078154,324.90,6.90,0.02,7.06,614,32,-0.31,-1.15,0.39,0.03,0.67,-0.37,0.67,0.38,-0.03
516,15:18:53,33.152524,-112.078154,324.90,193.25,0.02,7.13,638,36,-0.39,-1.16,0.48,0.03,0.67,-0.36,0.74,0.56,0.14
519,15:18:55,33.152524,-112.078154,324.90,176.20,0.02,7.06,641,36,-0.41,-1.14,0.51,0.03,0.67,-0.35,0.78,0.34,0.19
522,15:18:57,33.152524,-112.078154,324.90,210.97,0.02,7.06,627,34,-0.42,-1.18,0.44,0.03,0.66,-0.37,0.56,0.34,0.38
525,15:18:59,33.152524,-112.078154,324.90,334.78,0.02,7.06,611,32,-0.42,-1.16,0.35,0.03,0.67,-0.37,0.66,0.47,0.17
528,15:19:1,33.152524,-112.078154,324.90,347.77,0.03,7.06,560,24,-0.42,-1.17,0.41,0.05,0.67,-0.37,0.70,0.29,0.23
531,15:19:3,33.152524,-112.078154,324.90,343.19,0.01,7.13,560,24,-0.44,-1.15,0.42,0.03,0.67,-0.37,0.52,0.46,0.29
534,15:19:5,33.152524,-112.078154,324.90,161.77,0.03,7.13,578,27,-0.46,-1.18,0.36,0.03,0.67,-0.36,0.69,0.42,0.29
537,15:19:7,33.152524,-112.078154,324.90,156.66,0.02,7.13,570,25,-0.49,-1.14,0.42,0.03,0.67,-0.36,0.57,0.40,0.20
540,15:19:9,33.152524,-112.078154,324.90,156.26,0.03,7.13,599,30,-0.49,-1.14,0.51,0.03,0.67,-0.37,0.59,0.36,0.06
543,15:19:11,33.152524,-112.078154,324.90,343.99,0.03,7.13,599,30,-0.42,-1.16,0.45,0.04,0.66,-0.38,0.70,0.38,0.31
546,15:19:13,33.152524,-112.078154,324.90,351.09,0.03,7.13,545,22,-0.41,-1.16,0.45,0.04,0.67,-0.39,0.67,0.57,0.03
549,15:19:15,33.152524,-112.078154,324.90,354.65,0.02,7.13,545,22,-0.43,-1.15,0.41,0.03,0.67,-0.37,0.79,0.30,0.30
